plant_id,source_name,country,lat,lon,note
amos,Amos,USA,38.4731,-81.8233,
white_bluff,White Bluff,USA,34.4236,-92.1392,
colstrip,Colstrip,USA,45.8831,-106.614,
gavin_kyger,Gavin-Kyger,USA,38.92855,-82.11751,
ghent,Ghent,USA,38.74753,-85.03433,
comanche,Comanche,USA,38.2081,-104.5747,
westar,Westar,USA,39.28556,-96.11701,
matimba,Matimba,S. Africa,-23.66833,27.61056,
sasan,Sasan,India,23.97861,82.62761,
vindhyachal,Vindhyachal,India,24.09856,82.67167,
belchatow,Belchatow,Poland,51.26639,19.33056,
kozienice,Kozienice,Poland,51.66472,21.46667,
taean,Taean,S. Korea,36.90557,126.23463,
lipetsk,Lipetsk,Russia,52.6,39.6,
